name,feature,imgUrl
김치찌개,김치 돼지고기 대파 두부 참치 얼큰함 찌개,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_1.png
된장찌개,된장 청국장 호박 두부 감자 고소함 찌개,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_2.jpg
비빔밥,밥 당근 나물 호박 돼지고기 촉촉함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_3.jpg
순두부찌개,순두부 마늘 고추가루 계란 대파 얼큰함 찌개,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_4.jpeg
냉면,소고기 쌈무 면 오이 계란 차가움 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_5.jpg
순대국밥,밥 순대 대파 마늘 고추 얼큰함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_6.jpg
닭볶음탕,닭 고추가루 감자 대파 양파 얼큰함 탕,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_7.jpg
순대볶음,순대 대파 들깨 고추 곱창 얼큰함 양념,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_8.jpeg
김치전,김치 오징어 밀가루 부침가루 고추가루 촉촉함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_9.jpg
부대찌개,돼지고기 두부 대파 떡 햄 얼큰함 찌개,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_10.jpg
잔치국수,면 멸치 호박 당근 계란 촉촉함 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_11.jpg
보쌈,돼지고기 김치 마늘 대파 된장 촉촉함 찜,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_12.jpg
족발,돼지고기 양파 대파 간장 마늘 부드러움 찜,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_13.jpg
황태해장국,황태 감자 마늘 들기름 밥 무속성 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/korea/kor_14.jpeg
